adjusted_rand_index,normalized_mutual_info,n_true_fragments,n_predicted_clusters,noise_fraction,n_clusters,median_cluster_points,max_cluster_points,radius,angle,curv_delta
2.8113426926565047e-06,0.0016721783761941824,500,2,0.9991972677914648,2,27.5,28,0.018,20,0.015
1.121415842283276e-05,0.010753136134521212,500,16,0.9942349232296106,16,22.5,38,0.018,20,0.025
6.398629923231221e-05,0.04992524380694347,500,75,0.9720065386187168,75,24.0,48,0.018,20,0.04
4.352602085472504e-06,0.0025829963207033616,500,3,0.9986864382042151,3,30.0,31,0.018,26,0.015
2.8706413985438445e-05,0.023307963264835595,500,34,0.9871124992702435,34,22.0,52,0.018,26,0.025
0.00017955078358084856,0.1062589347198436,500,150,0.9373139120789304,150,25.0,88,0.018,26,0.04
5.561170591306951e-06,0.0034317972903817064,500,4,0.9982339891412225,4,30.0,33,0.018,32,0.015
5.0930597157605626e-05,0.03479463892063352,500,47,0.9805155000291903,47,24.0,65,0.018,32,0.025
0.00028687151729353755,0.14506605771029282,500,196,0.9107507735419464,196,26.0,174,0.018,32,0.04
-1.475840657678854e-06,0.008551197554694159,500,14,0.9953149629283671,14,21.5,30,0.022,20,0.015
1.409498263856719e-05,0.03990845438395714,500,62,0.9772607858018565,62,22.0,49,0.022,20,0.025
0.0001589535473956432,0.14274528364766204,500,219,0.9110718664253605,219,24.0,80,0.022,20,0.04
8.429442576292195e-06,0.01674993473333003,500,27,0.9906883063809913,27,21.0,35,0.022,26,0.015
9.54723339098181e-05,0.08602067241836378,500,126,0.9495738221729231,126,24.0,69,0.022,26,0.025
0.0005233146707654997,0.25785138849600775,500,376,0.823720007005663,376,27.0,230,0.022,26,0.04
2.0325150081707254e-05,0.02576843311023386,500,39,0.985609200770623,39,23.0,46,0.022,32,0.015
0.00019755293075077987,0.13269808125876026,500,194,0.918792690758363,194,25.0,93,0.022,32,0.025
0.0009346672149556682,0.33030186013832036,500,439,0.7525687430673127,439,31.0,330,0.022,32,0.04
-1.5158262838248505e-05,0.018429781972316504,500,30,0.9894331251094635,30,21.5,38,0.026,20,0.015
3.402664919814173e-05,0.09162164849699476,500,141,0.9448449997080974,141,23.0,56,0.026,20,0.025
0.0002746429599150159,0.2479801852609798,500,382,0.8267703893980968,382,27.0,103,0.026,20,0.04
2.6524590127240926e-05,0.04777918515653163,500,75,0.9729114367447019,75,24.0,43,0.026,26,0.015
0.00023162443959330887,0.18327706001715996,500,270,0.8826259559810847,270,26.0,100,0.026,26,0.025
0.0011067047597473048,0.3965530789157198,500,552,0.6770973203339365,552,31.0,556,0.026,26,0.04
6.459923276727077e-05,0.07224477087708317,500,104,0.9580681884523323,104,24.0,70,0.026,32,0.015
0.0005205407739743373,0.2661604180649312,500,377,0.8133282736878977,377,28.0,203,0.026,32,0.025
0.00241745670177745,0.46338581604982393,500,543,0.5669186759297099,543,33.0,1286,0.026,32,0.04
-2.5651081563409383e-05,0.03393459296054763,500,54,0.9803111681942904,54,22.0,45,0.03,20,0.015
2.7714747221308814e-05,0.1612955413655717,500,256,0.8957469788078697,256,25.0,79,0.03,20,0.025
0.00041404091356177025,0.3465756925926779,500,535,0.7306176659466402,535,30.0,121,0.03,20,0.04
4.34371027849739e-05,0.08298419090482181,500,127,0.9510479304104151,127,23.0,69,0.03,26,0.015
0.00037238300349777325,0.28951862046609395,500,426,0.7892317123007765,426,28.0,161,0.03,26,0.025
0.0020820786104805396,0.48558931164806485,500,609,0.5405598692276257,609,34.0,1146,0.03,26,0.04
0.00013632663757948734,0.13012068602870389,500,189,0.9199894915056337,189,25.0,88,0.03,32,0.015
0.0010133012347293606,0.38627256328800486,500,518,0.6807461031000058,518,31.0,393,0.03,32,0.025
0.00435667488902682,0.4533629644933169,500,457,0.40914530912487596,457,37.0,15073,0.03,32,0.04
-3.5605004287772654e-05,0.05108737646463949,500,79,0.9698172689590753,79,23.0,60,0.034,20,0.015
3.204480805994808e-05,0.218142839195858,500,340,0.8494658182030475,340,26.0,94,0.034,20,0.025
0.0005803044284294448,0.4114023110665618,500,616,0.6490016930352035,616,31.0,241,0.034,20,0.04
5.2908310781775046e-05,0.13194701543155693,500,200,0.9170704652927784,200,25.0,81,0.034,26,0.015
0.0005558678253689143,0.3639668273172711,500,512,0.7061416311518477,512,31.0,353,0.034,26,0.025
0.004091762473073112,0.5251254052927351,500,545,0.4288341409305856,545,38.0,2989,0.034,26,0.04
0.00020419198028502288,0.2091402026227594,500,306,0.8569385253079572,306,26.0,139,0.034,32,0.015
0.0017969419643980996,0.44871204179802665,500,529,0.5665829879152314,529,32.0,1746,0.034,32,0.025
0.003750290154656985,0.39199543754736255,500,291,0.3026300426177827,291,41.0,27295,0.034,32,0.04
