cluster_id,n_points,estimated_volume_m3,estimated_diameter_m
0,47627,1.3738731445756038,1.3792701499639586
1,326,0.005039220447905183,0.21271016530421863
2,222,0.002001388754695655,0.1563547013364601
3,93,0.0005318801716253536,0.10052445470951608
4,2224,0.049355938722726166,0.4551070865347177
5,77,0.0004244196232305577,0.09323928712427135
6,32,0.00016123322785598806,0.06752822102595378
8,31,9.024106029005602e-05,0.05565042974106951
9,425,0.007230569114682101,0.2399153045569994
10,221,0.002641112411242985,0.17149945908000433
12,102,0.0005206315690546225,0.09981074381146943
13,36,0.00014759432776609258,0.06556776019313323
14,46,0.00030699269749436144,0.08369698379972874
15,85,0.0008536863955855576,0.11769732147765732
17,104,0.0006298017812352486,0.10634941062199942
18,202,0.0017529288968440814,0.14959665842193826
19,162,0.00172092583285109,0.14868067034891078
20,89,0.0005603065556014551,0.10228431173011812
22,57,0.0004028621016476789,0.09163314599550161
23,28,0.00014588422746745502,0.06531354240624572
24,118,0.000895417381543447,0.11958470395773048
25,248,0.003971486048838043,0.19647990508264046
26,159,0.0019597080224484655,0.15526166866153998
27,59,0.0005483428397770674,0.1015510733770593
29,85,0.0010175576073180967,0.12479201417029989
30,176,0.0021962874694303456,0.16127368911382772
31,186,0.0028934088367147223,0.17679516906697998
32,109,0.000731263441655446,0.11177853498233024
36,36,0.0001712899860213564,0.06890400259083664
38,85,0.0007396953479845204,0.11220651873304917
42,401,0.006015502973437294,0.22564433838549866
43,133,0.0016718645343101217,0.14725413115564875
45,101,0.000608973262239226,0.10516386383000201
46,26,0.00010196499472648734,0.05796299613472167
48,169,0.0012988647218473036,0.13536979346118558
49,40,0.00017873506792868946,0.06988817757014516
51,53,0.0005812968399776907,0.1035459491134475
52,137,0.0015247010679338088,0.142800160004834
55,39,0.0001978718871595723,0.0722983675229027
56,65,0.0005423307422206058,0.10117856921012683
58,28,0.00012050075534521861,0.061281640434445006
60,196,0.001447266766045655,0.1403405978750087
63,32,0.00013740727501525006,0.06402314953777324
64,197,0.002140737261688937,0.15990237540320754
71,53,0.00044986789406983575,0.09506678181387969
74,29,0.00017544153466061353,0.06945623935171463
76,67,0.0008443875952765858,0.11726842008004869
77,29,0.00010635972152717257,0.058784052580820895
79,53,0.0005654011440944961,0.10259338363926448
80,34,0.0002106319851470238,0.07382020261193395
83,31,0.00014114449468178065,0.064598401829051
84,35,0.00013432033119235555,0.06354007316210426
89,51,0.0004070026585090382,0.09194600720680847
92,31,0.00014877158454837795,0.06574162813172005
93,32,0.00013369991452430726,0.06344209302964714
103,69,0.0008080483895636133,0.11556143219666352
106,29,9.321259622933789e-05,0.05625468027610796
107,25,0.0001167632773661295,0.06064139985426837
108,25,2.392029049403695e-05,0.03574834515112744
115,72,0.0004912544952712732,0.09789698236295552
118,41,0.00021376565673366914,0.07418448800567343
128,33,7.208161419006936e-05,0.05163473594726875
149,26,8.469484602838428e-05,0.0544861498119371
155,28,0.0001466181106815299,0.06542288107139017
174,29,0.00014570557895781394,0.06528687072426292
183,33,0.00016037376668848226,0.06740801975917285
184,33,9.983602279007646e-05,0.05755674381343312
215,27,0.0001451286065796192,0.06520058129995869
219,26,0.00011487989546220643,0.06031358403422604
