cluster_id,n_points,diameter_proxy_m,diameter_proxy_mm,pca_span_1_m,pca_span_2_m,pca_span_3_m,pairwise_d90_m,proxy_volume_m3
0,25,0.0827539258694252,82.7539258694252,0.0827539258694252,0.06926655328165883,0.026103310772513513,0.0693116376849265,0.0002967320386035961
1,22,0.10543994560584631,105.4399456058463,0.10543994560584631,0.07378997346191003,0.022164081877825748,0.08554499175063043,0.0006137819914227685
2,26,0.07820883990317437,78.20883990317436,0.07820883990317437,0.07490231103778991,0.025720800320013053,0.06755023071289565,0.0002504760201119966
3,45,0.21282876978678883,212.82876978678883,0.21282876978678883,0.11484813212832849,0.05025427123306821,0.1403668246711047,0.005047654564587291
4,28,0.08905996717128065,89.05996717128065,0.08905996717128065,0.07844789676859898,0.042941815416359136,0.08115767996579136,0.0003698675362784543
5,38,0.11791596334576529,117.91596334576529,0.11791596334576529,0.11093572208914354,0.054882905765292,0.10246239689898443,0.0008584528219478286
6,62,0.16200792632151778,162.00792632151777,0.16200792632151778,0.13904578304074877,0.07554125691300673,0.14223650272251592,0.0022264216257197747
7,64,0.1926853124107448,192.68531241074479,0.1926853124107448,0.08011112187655961,0.06510010145647918,0.1587615610737673,0.0037457988911070734
8,20,0.11483730611921836,114.83730611921835,0.11483730611921836,0.05065863530182417,0.037679065846256604,0.09546065565113332,0.0007929532999211089
9,42,0.19235098136445494,192.35098136445495,0.19235098136445494,0.11270224013886462,0.06379323624082935,0.15772841596401294,0.0037263345351172196
10,32,0.09240218196111508,92.40218196111508,0.09240218196111508,0.05530356184456677,0.025992581017904373,0.06628981194339463,0.0004130905901998926
11,54,0.11087061471687733,110.87061471687733,0.11087061471687733,0.08348666262235782,0.07249646118933427,0.09689428300271943,0.0007135887402874525
12,39,0.11528093536636311,115.28093536636311,0.11528093536636311,0.07735999977258665,0.030019478407574542,0.09266757782337555,0.0008021786464208957
13,29,0.11799607409400403,117.99607409400403,0.11799607409400403,0.09140527557680797,0.03396434876691867,0.10914707510806945,0.0008602036798202577
14,57,0.13730025091934112,137.30025091934112,0.13730025091934112,0.09358627767560265,0.06567943836651598,0.0905365419351806,0.0013552287774851268
15,37,0.08960850338370605,89.60850338370605,0.08960850338370605,0.06642394615451988,0.039856717653919335,0.06721158935189353,0.00037674395625286386
16,34,0.11409384829037217,114.09384829037216,0.11409384829037217,0.07930423059663974,0.04313708925857711,0.08309616585837898,0.0007776520274750943
17,37,0.08457278837071724,84.57278837071725,0.08457278837071724,0.05875109512268197,0.03369043641633573,0.06801060769142775,0.0003167309992631173
18,21,0.15387467555170387,153.87467555170386,0.15387467555170387,0.07242362080499365,0.03751587092997968,0.11955743916055928,0.0019076560445214533
19,32,0.09917652553346272,99.17652553346272,0.09917652553346272,0.08330277853412826,0.04129552085229079,0.08644130437428221,0.0005107698938455799
20,120,0.24434975545776216,244.34975545776217,0.24434975545776216,0.12418365731264423,0.08413379278586826,0.1805737033932769,0.007638961979910403
21,162,0.17500373611372927,175.00373611372927,0.17500373611372927,0.1444893243664103,0.07163057223418211,0.14232871532226687,0.0028063419199419646
22,129,0.28581769747517327,285.81769747517325,0.28581769747517327,0.130077683539071,0.06253550436364057,0.21145231766412942,0.01222548145187581
23,54,0.20092654424108064,200.92654424108065,0.20092654424108064,0.12792618064769193,0.051954843003932,0.16231612120435007,0.004247276813664554
